"Reference","Value","Footprint","数量"
"C1","10u","$74th:Capacitor_0805_2012","1"
"C2","2.2u","$74th:Capacitor_0805_2012","1"
"C3, C4","100n","$74th:Capacitor_0805_2012","2"
"CH1","ProMicro-LeftPin","$74th:ProMicro_LIKE_LEFT_NO_GND","1"
"CH2","ProMicro-RightPin","$74th:ProMicro_LIKE_RIGHT","1"
"D1","Blue","$74th:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"J1","USB2.0_C_v3","$74th:USB-C-12-Pin-SMD","1"
"J2","SWD-MCU_Side-10Pin","$74th:SWD_2x05_P1.27mm","1"
"R1, R2","5.1k","$74th:Register_0805_2012","2"
"R3, R4","10k","$74th:Register_0805_2012","2"
"SW1","SW_Push","$74th:SKRPABE010","1"
"U1","AMS1117-3.3","$74th:Regulator_AMS1117_SOT-89","1"
"U2","STM32G030F6Px","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","1"
