"Reference","Value","Footprint","数量"
"C1, C2","10u","$74th:Capacitor_0603_1608","2"
"C3-C6","100n","$74th:Capacitor_0603_1608","4"
"D1","Blue","$74th:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"
"F1","Polyfuse","Fuse:Fuse_1206_3216Metric","1"
"J1","USB2.0_C_v3","$74th:USB-C-12-Pin-SMD","1"
"J2","SWD-MCU_Side-10Pin","$74th:SWD_2x05_P1.27mm","1"
"J3","ProMicro-LeftPin-NoGND","$74th:ProMicro_LIKE_LEFT_NO_GND","1"
"J4","ProMicro-RightPin","$74th:ProMicro_LIKE_RIGHT","1"
"R1, R2","5.1k","$74th:Register_0603_1608","2"
"R3-R5","10k","$74th:Register_0603_1608","3"
"SW1","SW_Push","$74th:SKRPABE010","1"
"U1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-89-3_Handsoldering","1"
"U2","STM32G431CBUx","$74th:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","1"
